ymax(VT("/Vout")) X,ymax(VT("/Vout")) Y
1.9e-06,0.5020347606522592
3.517e-05,0.5262218420615374
6.844e-05,0.5501092868354327
0.00010171,0.5736752019236809
0.00013498,0.596861990474447
0.00016825,0.6197307903583147
0.00020152,0.6422318923015722
0.00023479,0.6644292483842007
0.00026806,0.6863585506819844
0.00030133,0.7079980927601796
0.0003346,0.7292702110309983
0.00036787,0.7501331315098969
0.00040114,0.7705683616977227
0.00043441,0.7910432542298658
0.00046768,0.811201718324002
0.00050095,0.8308890530252829
0.00053422,0.8497671579995651
0.00056749,0.8686011778974646
0.00060076,0.8870643523667121
0.0006340300000000001,0.9052541745911473
0.0006673,0.9232982332349333
0.00070057,0.9410118754736891
0.00073384,0.9584304365886596
0.00076711,0.9755212807419698
0.0008003799999999999,0.9921418865796953
0.00083365,1.008400748477326
0.00086692,1.024607746041059
0.00090019,1.040416326099024
0.00093346,1.055823554021304
0.00096673,1.07107355344051
0.001,1.085865386548813
